chamber,temperature,photoperiod,starting_lifestage,population,emerg_group,last_emerg_date,diap_test_date,repro_female,feeder,diapause,notes
4,21,15.75,larva26,BS,NA,NA,17-Aug,2,0,7,
4,21,15.75,larva26,S,NA,NA,17-Aug,11,5,9,
4,21,15.75,larva26,P,NA,NA,17-Aug,2,5,12,
4,21,15.75,larva,BS,NA,NA,17-Aug,4,2,2,
4,21,15.75,larva,S,NA,NA,17-Aug,0,0,24,
4,21,15.75,larva,P,NA,NA,17-Aug,0,1,22,
5,21,16.25,larva,BS,NA,NA,17-Aug,3,2,0,
5,21,16.25,larva,S,NA,NA,17-Aug,8,4,8,
5,21,16.25,larva,P,NA,NA,17-Aug,5,2,15,
6,21,16.75,larva,BS,NA,NA,17-Aug,4,2,1,
6,21,16.75,larva,S,NA,NA,17-Aug,8,8,3,
6,21,16.75,larva,P,NA,NA,17-Aug,3,8,11,
